character	environment_count	environments
a	722	#_#|#_'|#_-|#_a|#_b|#_c|#_d|#_e|#_f|#_g|#_h|#_i|#_j|#_k|#_l|#_m|#_n|#_o|#_p|#_q|#_r|#_s|#_t|#_u|#_v|#_w|#_x|#_y|#_z|'_#|'_'|'_c|'_d|'_f|'_g|'_h|'_i|'_l|'_m|'_n|'_p|'_r|'_t|'_u|'_v|,_n|-_#|-_'|-_-|-_a|-_b|-_c|-_d|-_e|-_f|-_g|-_h|-_i|-_l|-_m|-_n|-_p|-_r|-_s|-_t|-_u|-_w|-_y|a_#|a_-|a_a|a_b|a_c|a_d|a_f|a_g|a_h|a_i|a_k|a_l|a_m|a_n|a_r|a_s|a_t|a_u|a_v|a_z|b_#|b_'|b_-|b_a|b_b|b_c|b_d|b_e|b_f|b_g|b_h|b_i|b_j|b_k|b_l|b_m|b_n|b_o|b_p|b_r|b_s|b_t|b_u|b_v|b_w|b_x|b_y|b_z|c_#|c_'|c_-|c_a|c_b|c_c|c_d|c_e|c_f|c_g|c_h|c_i|c_j|c_k|c_l|c_m|c_n|c_o|c_p|c_q|c_r|c_s|c_t|c_u|c_v|c_w|c_y|d_#|d_'|d_-|d_a|d_b|d_c|d_d|d_e|d_f|d_g|d_h|d_i|d_k|d_l|d_m|d_n|d_p|d_q|d_r|d_s|d_t|d_u|d_v|d_w|d_x|d_y|d_z|e_#|e_'|e_,|e_-|e_c|e_d|e_f|e_g|e_h|e_i|e_k|e_l|e_m|e_n|e_p|e_r|e_s|e_t|e_u|e_v|e_w|e_z|f_#|f_'|f_-|f_b|f_c|f_d|f_e|f_f|f_g|f_h|f_i|f_j|f_k|f_l|f_m|f_n|f_o|f_p|f_r|f_s|f_t|f_u|f_v|f_w|f_x|f_y|g_#|g_'|g_-|g_a|g_b|g_c|g_d|g_e|g_f|g_g|g_h|g_i|g_j|g_l|g_m|g_n|g_o|g_p|g_q|g_r|g_s|g_t|g_u|g_v|g_w|g_y|g_z|h_#|h_'|h_-|h_a|h_b|h_c|h_d|h_e|h_f|h_g|h_h|h_i|h_j|h_k|h_l|h_m|h_n|h_o|h_p|h_q|h_r|h_s|h_t|h_u|h_v|h_w|h_x|h_y|h_z|i_#|i_'|i_a|i_b|i_c|i_d|i_e|i_f|i_g|i_h|i_i|i_k|i_l|i_m|i_n|i_o|i_p|i_r|i_s|i_t|i_u|i_v|i_w|i_x|i_z|j_#|j_'|j_b|j_c|j_d|j_e|j_f|j_g|j_h|j_i|j_j|j_k|j_l|j_m|j_n|j_p|j_r|j_s|j_t|j_u|j_v|j_w|j_x|j_y|j_z|k_#|k_'|k_-|k_a|k_b|k_c|k_d|k_e|k_f|k_g|k_h|k_i|k_j|k_k|k_l|k_m|k_n|k_p|k_r|k_s|k_t|k_v|k_w|k_x|k_y|k_z|l_#|l_'|l_-|l_a|l_b|l_c|l_d|l_e|l_f|l_g|l_h|l_i|l_k|l_l|l_m|l_n|l_o|l_p|l_r|l_s|l_t|l_u|l_v|l_w|l_x|l_y|l_z|m_#|m_'|m_-|m_a|m_b|m_c|m_d|m_e|m_f|m_g|m_h|m_i|m_j|m_k|m_l|m_m|m_n|m_o|m_p|m_q|m_r|m_s|m_t|m_u|m_v|m_w|m_x|m_y|m_z|n_#|n_'|n_-|n_a|n_b|n_c|n_d|n_e|n_f|n_g|n_h|n_i|n_j|n_k|n_l|n_m|n_n|n_o|n_p|n_q|n_r|n_s|n_t|n_u|n_v|n_w|n_x|n_y|n_z|n_í|n_ï|o_#|o_-|o_b|o_c|o_d|o_f|o_g|o_h|o_i|o_k|o_l|o_m|o_n|o_p|o_q|o_r|o_s|o_t|o_u|o_x|o_z|p_#|p_'|p_-|p_a|p_b|p_c|p_d|p_e|p_f|p_g|p_h|p_i|p_j|p_k|p_l|p_m|p_n|p_o|p_p|p_q|p_r|p_s|p_t|p_u|p_v|p_w|p_x|p_y|p_z|q_#|q_'|q_h|q_p|q_r|q_t|r_#|r_'|r_-|r_a|r_b|r_c|r_d|r_e|r_f|r_g|r_h|r_i|r_j|r_k|r_l|r_m|r_n|r_o|r_p|r_q|r_r|r_s|r_t|r_u|r_v|r_w|r_x|r_y|r_z|s_#|s_'|s_a|s_b|s_c|s_d|s_e|s_f|s_g|s_h|s_i|s_j|s_k|s_l|s_m|s_n|s_o|s_p|s_q|s_r|s_s|s_t|s_u|s_v|s_w|s_x|s_y|s_z|t_#|t_'|t_-|t_a|t_b|t_c|t_d|t_e|t_f|t_g|t_h|t_i|t_j|t_k|t_l|t_m|t_n|t_o|t_p|t_q|t_r|t_s|t_t|t_u|t_v|t_w|t_x|t_y|t_z|u_#|u_'|u_b|u_c|u_d|u_e|u_f|u_g|u_h|u_i|u_l|u_m|u_n|u_p|u_r|u_s|u_t|u_u|u_v|u_w|u_y|v_#|v_'|v_-|v_a|v_b|v_c|v_d|v_e|v_g|v_h|v_i|v_j|v_k|v_l|v_m|v_n|v_o|v_p|v_r|v_s|v_t|v_u|v_v|v_x|v_y|v_z|w_#|w_'|w_-|w_a|w_b|w_c|w_d|w_e|w_f|w_g|w_h|w_i|w_k|w_l|w_m|w_n|w_p|w_r|w_s|w_t|w_u|w_v|w_w|w_x|w_y|w_z|x_#|x_b|x_c|x_d|x_e|x_l|x_n|x_r|x_s|x_t|x_u|x_x|y_#|y_'|y_-|y_a|y_b|y_c|y_d|y_e|y_f|y_g|y_h|y_i|y_k|y_l|y_m|y_n|y_p|y_r|y_s|y_t|y_u|y_v|y_w|y_y|y_z|z_#|z_'|z_a|z_b|z_c|z_d|z_e|z_f|z_g|z_h|z_i|z_k|z_l|z_m|z_n|z_p|z_r|z_s|z_t|z_w|z_x|z_y|z_z|é_d|é_g|ï_e|ï_f|ï_i|ï_u|ñ_#|ñ_t|ŵ_i|ŵ_u
o	683	#_#|#_'|#_-|#_a|#_b|#_c|#_d|#_e|#_f|#_g|#_h|#_i|#_j|#_k|#_l|#_m|#_n|#_o|#_p|#_r|#_s|#_t|#_u|#_v|#_w|#_x|#_y|#_z|'_#|'_'|'_a|'_c|'_e|'_h|'_m|'_n|'_r|'_s|'_t|'_u|'_y|-_#|-_'|-_-|-_a|-_b|-_c|-_e|-_f|-_g|-_h|-_k|-_l|-_m|-_n|-_o|-_p|-_r|-_s|-_u|a_#|a_b|a_d|a_e|a_l|a_m|a_n|a_o|a_r|a_s|a_t|a_w|a_y|b_#|b_'|b_-|b_a|b_b|b_c|b_d|b_e|b_f|b_g|b_h|b_i|b_k|b_l|b_m|b_n|b_o|b_p|b_q|b_r|b_s|b_t|b_u|b_v|b_w|b_x|b_y|b_z|c_#|c_'|c_-|c_a|c_b|c_c|c_d|c_e|c_f|c_g|c_h|c_i|c_j|c_k|c_l|c_m|c_n|c_o|c_p|c_r|c_s|c_t|c_u|c_v|c_w|c_x|c_y|d_#|d_'|d_-|d_a|d_b|d_c|d_d|d_e|d_f|d_g|d_h|d_i|d_j|d_k|d_l|d_m|d_n|d_o|d_p|d_q|d_r|d_s|d_t|d_u|d_v|d_w|d_x|d_y|d_z|d_ñ|e_#|e_'|e_-|e_c|e_d|e_e|e_f|e_g|e_h|e_l|e_m|e_n|e_o|e_p|e_r|e_s|e_t|e_u|e_w|e_x|f_#|f_'|f_-|f_a|f_b|f_c|f_d|f_e|f_g|f_i|f_l|f_m|f_n|f_o|f_p|f_r|f_s|f_t|f_u|f_w|f_x|g_#|g_'|g_-|g_a|g_b|g_c|g_d|g_e|g_f|g_g|g_h|g_i|g_k|g_l|g_m|g_n|g_o|g_p|g_r|g_s|g_t|g_u|g_v|g_w|g_y|h_#|h_'|h_-|h_a|h_b|h_c|h_d|h_e|h_f|h_g|h_h|h_i|h_j|h_k|h_l|h_m|h_n|h_o|h_p|h_r|h_s|h_t|h_u|h_v|h_w|h_x|h_y|h_z|i_#|i_'|i_-|i_a|i_b|i_c|i_d|i_e|i_f|i_g|i_h|i_i|i_k|i_l|i_m|i_n|i_o|i_p|i_q|i_r|i_s|i_t|i_u|i_v|i_w|i_x|i_z|j_#|j_'|j_-|j_a|j_b|j_c|j_d|j_e|j_f|j_h|j_i|j_j|j_k|j_l|j_m|j_n|j_o|j_p|j_q|j_r|j_s|j_t|j_u|j_v|j_x|j_y|k_#|k_'|k_-|k_a|k_b|k_c|k_d|k_e|k_f|k_h|k_i|k_j|k_k|k_l|k_m|k_n|k_o|k_p|k_q|k_r|k_s|k_t|k_u|k_v|k_w|k_z|l_#|l_'|l_,|l_-|l_a|l_b|l_c|l_d|l_e|l_f|l_g|l_h|l_i|l_j|l_k|l_l|l_m|l_n|l_o|l_p|l_q|l_r|l_s|l_t|l_u|l_v|l_w|l_x|l_y|l_z|l_ÿ|m_#|m_'|m_-|m_a|m_b|m_c|m_d|m_e|m_f|m_g|m_h|m_i|m_j|m_k|m_l|m_m|m_n|m_o|m_p|m_r|m_s|m_t|m_u|m_v|m_w|m_x|m_y|m_z|n_#|n_'|n_-|n_a|n_b|n_c|n_d|n_e|n_f|n_g|n_h|n_i|n_k|n_l|n_m|n_n|n_o|n_p|n_r|n_s|n_t|n_u|n_v|n_w|n_x|n_y|n_z|o_#|o_-|o_a|o_b|o_c|o_d|o_e|o_f|o_g|o_h|o_i|o_j|o_k|o_l|o_m|o_n|o_o|o_p|o_r|o_s|o_t|o_u|o_v|o_w|o_z|p_#|p_'|p_-|p_a|p_b|p_c|p_d|p_e|p_g|p_h|p_i|p_k|p_l|p_m|p_n|p_o|p_p|p_q|p_r|p_s|p_t|p_u|p_v|p_w|q_'|q_-|q_m|r_#|r_'|r_-|r_a|r_b|r_c|r_d|r_e|r_f|r_g|r_h|r_i|r_j|r_k|r_l|r_m|r_n|r_o|r_p|r_q|r_r|r_s|r_t|r_u|r_v|r_w|r_x|r_y|r_z|r_ë|s_#|s_'|s_-|s_a|s_b|s_c|s_d|s_e|s_f|s_g|s_h|s_i|s_j|s_k|s_l|s_m|s_n|s_o|s_p|s_q|s_r|s_s|s_t|s_u|s_v|s_w|s_y|s_z|t_#|t_'|t_-|t_a|t_b|t_c|t_d|t_e|t_f|t_g|t_h|t_i|t_j|t_k|t_l|t_m|t_n|t_o|t_p|t_q|t_r|t_s|t_t|t_u|t_v|t_w|t_x|t_y|t_z|u_#|u_'|u_c|u_d|u_e|u_g|u_l|u_m|u_n|u_r|u_s|u_t|u_u|u_v|v_#|v_'|v_-|v_c|v_d|v_g|v_h|v_i|v_j|v_k|v_l|v_m|v_n|v_o|v_r|v_s|v_t|v_u|v_v|v_w|v_x|v_y|w_#|w_'|w_-|w_a|w_b|w_c|w_d|w_f|w_g|w_h|w_l|w_m|w_n|w_o|w_p|w_r|w_s|w_t|w_u|w_v|w_w|x_#|x_-|x_a|x_b|x_c|x_d|x_g|x_i|x_l|x_m|x_n|x_p|x_r|x_s|x_t|y_#|y_'|y_-|y_a|y_c|y_d|y_f|y_g|y_k|y_l|y_m|y_n|y_o|y_p|y_r|y_s|y_t|y_u|y_v|y_w|z_#|z_-|z_a|z_b|z_c|z_d|z_e|z_f|z_g|z_i|z_l|z_m|z_n|z_o|z_r|z_t|z_u|z_v|z_z|é_d|é_m|é_r|é_t|é_w|ë_d|ï_#|ï_'|ï_d|ï_e|ï_l|ï_m|ï_n|ñ_#|ñ_r|ŵ_l
e	671	#_#|#_'|#_-|#_a|#_b|#_c|#_d|#_e|#_f|#_g|#_h|#_i|#_j|#_k|#_l|#_m|#_n|#_o|#_p|#_q|#_r|#_s|#_t|#_u|#_v|#_w|#_x|#_y|#_z|#_ä|'_#|'_a|'_d|'_e|'_f|'_h|'_i|'_l|'_m|'_q|'_r|'_s|'_t|'_u|'_w|'_y|-_-|-_a|-_c|-_d|-_e|-_f|-_g|-_h|-_i|-_l|-_m|-_n|-_r|-_s|-_t|-_u|-_w|-_y|a_#|a_'|a_-|a_a|a_b|a_c|a_d|a_e|a_g|a_i|a_k|a_l|a_m|a_n|a_o|a_q|a_r|a_s|a_t|a_u|a_v|a_w|a_y|a_z|b_#|b_a|b_b|b_c|b_d|b_e|b_f|b_g|b_h|b_i|b_j|b_k|b_l|b_m|b_n|b_o|b_p|b_q|b_r|b_s|b_t|b_u|b_v|b_w|b_x|b_y|b_z|c_#|c_'|c_-|c_a|c_b|c_c|c_d|c_f|c_g|c_h|c_i|c_l|c_m|c_n|c_o|c_p|c_r|c_s|c_t|c_u|c_w|c_y|d_#|d_'|d_-|d_a|d_b|d_c|d_d|d_e|d_f|d_g|d_h|d_i|d_j|d_k|d_l|d_m|d_n|d_o|d_p|d_r|d_s|d_t|d_u|d_v|d_w|d_x|d_y|d_z|e_#|e_'|e_-|e_a|e_b|e_c|e_d|e_e|e_f|e_g|e_h|e_i|e_j|e_k|e_l|e_m|e_n|e_o|e_p|e_r|e_s|e_t|e_v|e_w|e_x|e_y|e_z|f_#|f_'|f_a|f_b|f_c|f_d|f_e|f_f|f_g|f_h|f_i|f_k|f_l|f_m|f_n|f_o|f_p|f_r|f_s|f_t|f_u|f_v|f_w|f_x|f_y|f_z|g_#|g_-|g_a|g_b|g_c|g_d|g_e|g_f|g_g|g_h|g_i|g_l|g_m|g_n|g_o|g_p|g_r|g_s|g_t|g_u|g_w|g_y|g_z|h_#|h_'|h_-|h_a|h_b|h_c|h_d|h_e|h_f|h_g|h_h|h_i|h_j|h_k|h_l|h_m|h_n|h_o|h_p|h_q|h_r|h_s|h_t|h_u|h_v|h_w|h_x|h_y|h_z|i_#|i_'|i_-|i_b|i_c|i_d|i_e|i_f|i_g|i_i|i_l|i_m|i_n|i_p|i_r|i_s|i_t|i_u|i_v|i_w|i_z|j_#|j_a|j_c|j_d|j_e|j_f|j_g|j_h|j_k|j_l|j_m|j_n|j_p|j_r|j_s|j_t|j_u|j_v|j_w|j_x|j_y|k_#|k_'|k_-|k_a|k_b|k_c|k_d|k_e|k_f|k_g|k_h|k_i|k_j|k_k|k_l|k_m|k_n|k_o|k_p|k_r|k_s|k_t|k_v|k_w|k_y|k_z|l_#|l_'|l_-|l_a|l_b|l_c|l_d|l_e|l_f|l_g|l_h|l_i|l_j|l_k|l_l|l_m|l_n|l_o|l_p|l_q|l_r|l_s|l_t|l_u|l_v|l_w|l_x|l_y|l_z|m_#|m_'|m_-|m_a|m_b|m_c|m_d|m_e|m_f|m_g|m_h|m_i|m_k|m_l|m_m|m_n|m_o|m_q|m_r|m_s|m_t|m_u|m_v|m_w|m_x|m_y|m_z|n_#|n_'|n_-|n_a|n_b|n_c|n_d|n_e|n_f|n_g|n_h|n_i|n_k|n_l|n_m|n_n|n_o|n_p|n_q|n_r|n_s|n_t|n_u|n_v|n_w|n_x|n_y|n_z|o_#|o_'|o_-|o_a|o_b|o_d|o_e|o_g|o_h|o_i|o_k|o_l|o_m|o_n|o_o|o_r|o_s|o_t|o_u|o_w|o_x|o_y|p_#|p_'|p_-|p_a|p_b|p_c|p_d|p_e|p_f|p_g|p_h|p_i|p_j|p_k|p_l|p_m|p_n|p_o|p_p|p_r|p_s|p_t|p_v|p_w|p_x|p_y|p_z|p_ñ|q_d|q_m|q_t|r_#|r_'|r_-|r_a|r_b|r_c|r_d|r_e|r_f|r_g|r_h|r_i|r_j|r_k|r_l|r_m|r_n|r_o|r_p|r_q|r_r|r_s|r_t|r_u|r_v|r_w|r_x|r_y|r_z|s_#|s_'|s_-|s_a|s_b|s_c|s_d|s_e|s_f|s_g|s_h|s_i|s_k|s_l|s_m|s_n|s_o|s_p|s_q|s_r|s_s|s_t|s_u|s_v|s_x|s_y|s_z|s_ñ|t_#|t_'|t_-|t_a|t_b|t_c|t_d|t_e|t_f|t_g|t_h|t_i|t_j|t_k|t_l|t_m|t_n|t_o|t_p|t_q|t_r|t_s|t_t|t_u|t_v|t_w|t_x|t_y|t_z|u_#|u_'|u_a|u_b|u_d|u_e|u_g|u_h|u_i|u_l|u_m|u_n|u_r|u_s|u_t|u_v|u_y|u_z|v_#|v_'|v_a|v_c|v_d|v_e|v_g|v_i|v_k|v_l|v_m|v_n|v_p|v_r|v_s|v_t|v_x|v_y|w_#|w_'|w_-|w_a|w_b|w_c|w_d|w_e|w_f|w_g|w_h|w_i|w_l|w_n|w_o|w_p|w_r|w_s|w_t|w_u|w_v|w_y|x_#|x_c|x_d|x_i|x_l|x_n|x_p|x_r|x_s|x_t|x_u|y_#|y_-|y_a|y_d|y_e|y_g|y_h|y_i|y_k|y_l|y_n|y_o|y_p|y_r|y_s|y_t|y_u|y_v|y_w|z_#|z_-|z_b|z_d|z_e|z_f|z_i|z_k|z_l|z_m|z_n|z_o|z_p|z_r|z_s|z_t|z_u|é_#|é_d|ë_g|ï_n|ŵ_r
i	636	#_#|#_'|#_-|#_a|#_b|#_c|#_d|#_e|#_f|#_g|#_h|#_i|#_j|#_k|#_l|#_m|#_n|#_o|#_p|#_q|#_r|#_s|#_t|#_u|#_v|#_w|#_x|#_y|#_z|#_â|#_í|'_#|'_'|'_a|'_e|'_g|'_h|'_i|'_j|'_k|'_m|'_n|'_o|'_t|-_#|-_'|-_-|-_a|-_c|-_e|-_f|-_l|-_m|-_n|-_o|-_s|-_t|-_w|a_#|a_'|a_-|a_a|a_b|a_c|a_d|a_e|a_f|a_g|a_h|a_i|a_k|a_l|a_m|a_n|a_o|a_p|a_q|a_r|a_s|a_t|a_w|b_#|b_'|b_-|b_a|b_b|b_c|b_d|b_e|b_f|b_g|b_i|b_k|b_l|b_m|b_n|b_o|b_p|b_q|b_r|b_s|b_t|b_u|b_v|b_w|b_x|b_z|b_â|c_#|c_'|c_-|c_a|c_b|c_c|c_d|c_e|c_f|c_g|c_l|c_m|c_n|c_o|c_p|c_r|c_s|c_t|c_u|c_v|c_w|d_#|d_'|d_-|d_a|d_b|d_c|d_d|d_e|d_f|d_g|d_h|d_i|d_k|d_l|d_m|d_n|d_o|d_p|d_q|d_r|d_s|d_t|d_u|d_v|d_w|d_x|d_y|d_z|e_#|e_-|e_a|e_b|e_c|e_d|e_e|e_f|e_g|e_h|e_i|e_j|e_k|e_l|e_m|e_n|e_o|e_p|e_r|e_s|e_t|e_u|e_v|e_w|f_#|f_'|f_-|f_a|f_b|f_c|f_d|f_e|f_f|f_g|f_j|f_l|f_m|f_n|f_o|f_r|f_s|f_t|f_v|f_w|f_x|f_y|f_z|g_#|g_'|g_-|g_a|g_b|g_c|g_d|g_e|g_f|g_g|g_k|g_l|g_m|g_n|g_o|g_p|g_r|g_s|g_t|g_u|g_v|g_w|g_z|g_â|h_#|h_'|h_-|h_a|h_b|h_c|h_d|h_e|h_f|h_g|h_i|h_j|h_k|h_l|h_m|h_n|h_o|h_p|h_r|h_s|h_t|h_u|h_v|h_w|h_y|h_z|i_#|i_-|i_a|i_i|i_l|i_n|i_o|i_r|i_s|i_v|j_#|j_a|j_b|j_f|j_g|j_h|j_i|j_k|j_l|j_m|j_n|j_r|j_s|j_t|j_v|j_w|k_#|k_'|k_-|k_a|k_b|k_c|k_d|k_e|k_f|k_i|k_j|k_l|k_m|k_n|k_o|k_p|k_r|k_s|k_t|k_v|k_y|k_z|l_#|l_'|l_-|l_a|l_b|l_c|l_d|l_e|l_f|l_g|l_h|l_i|l_j|l_k|l_l|l_m|l_n|l_o|l_p|l_q|l_r|l_s|l_t|l_u|l_v|l_w|l_x|l_y|l_z|m_#|m_'|m_-|m_a|m_c|m_d|m_e|m_f|m_g|m_h|m_k|m_l|m_m|m_n|m_o|m_r|m_s|m_t|m_u|m_w|m_x|m_y|m_z|m_è|n_#|n_'|n_-|n_a|n_b|n_c|n_d|n_e|n_f|n_g|n_h|n_i|n_j|n_k|n_l|n_m|n_n|n_o|n_p|n_q|n_r|n_s|n_t|n_u|n_v|n_w|n_x|n_z|n_é|o_#|o_'|o_-|o_a|o_c|o_d|o_e|o_f|o_g|o_i|o_k|o_l|o_m|o_n|o_o|o_r|o_s|o_t|o_x|p_#|p_-|p_a|p_b|p_c|p_d|p_e|p_f|p_g|p_k|p_l|p_m|p_n|p_o|p_p|p_q|p_r|p_s|p_t|p_u|p_v|p_w|p_x|p_z|p_ñ|r_#|r_'|r_-|r_a|r_b|r_c|r_d|r_e|r_f|r_g|r_i|r_j|r_k|r_l|r_m|r_n|r_o|r_p|r_q|r_r|r_s|r_t|r_u|r_v|r_w|r_x|r_y|r_z|s_#|s_'|s_-|s_a|s_b|s_c|s_d|s_e|s_f|s_g|s_i|s_k|s_l|s_m|s_n|s_o|s_p|s_q|s_r|s_s|s_t|s_u|s_v|s_w|s_x|s_y|s_z|s_â|s_ô|s_ŵ|t_#|t_'|t_-|t_a|t_b|t_c|t_d|t_e|t_f|t_g|t_h|t_k|t_l|t_m|t_n|t_o|t_p|t_q|t_r|t_s|t_t|t_u|t_v|t_w|t_x|t_y|t_z|u_#|u_'|u_a|u_b|u_c|u_d|u_e|u_g|u_k|u_l|u_n|u_p|u_q|u_r|u_s|u_t|u_v|u_z|v_#|v_-|v_a|v_b|v_c|v_d|v_e|v_f|v_g|v_h|v_i|v_k|v_l|v_n|v_o|v_p|v_r|v_s|v_t|v_u|v_v|v_x|w_#|w_'|w_-|w_a|w_b|w_c|w_d|w_e|w_f|w_g|w_i|w_k|w_l|w_m|w_n|w_o|w_p|w_r|w_s|w_t|w_v|w_w|w_x|w_z|x_#|x_-|x_a|x_b|x_c|x_d|x_e|x_g|x_i|x_k|x_l|x_m|x_n|x_o|x_p|x_r|x_s|x_t|x_u|x_v|y_#|y_-|y_a|y_f|y_g|y_k|y_n|y_o|y_p|y_r|y_s|y_u|y_v|z_#|z_a|z_b|z_d|z_e|z_f|z_g|z_k|z_l|z_m|z_n|z_o|z_p|z_r|z_s|z_t|z_u|z_y|z_z|á_n|á_t|é_s|ë_g|ë_r|ó_n|ŵ_o
u	499	#_#|#_'|#_-|#_b|#_c|#_d|#_e|#_f|#_g|#_h|#_i|#_k|#_l|#_m|#_n|#_o|#_p|#_r|#_s|#_t|#_v|#_w|#_x|#_y|#_z|'_#|'_n|'_u|-_#|-_c|-_g|-_h|-_l|-_n|-_p|-_t|a_#|a_'|a_-|a_b|a_c|a_d|a_e|a_f|a_g|a_i|a_k|a_l|a_m|a_n|a_o|a_r|a_s|a_t|a_v|a_w|a_x|a_z|b_#|b_'|b_a|b_b|b_c|b_d|b_e|b_f|b_g|b_h|b_i|b_k|b_l|b_m|b_n|b_o|b_p|b_r|b_s|b_t|b_w|b_x|b_z|c_#|c_'|c_b|c_d|c_e|c_f|c_i|c_l|c_m|c_n|c_o|c_p|c_r|c_s|c_t|c_u|c_z|d_#|d_'|d_-|d_a|d_b|d_c|d_d|d_e|d_f|d_g|d_h|d_i|d_k|d_l|d_m|d_n|d_o|d_p|d_r|d_s|d_t|d_v|d_w|d_y|e_#|e_'|e_-|e_a|e_b|e_c|e_d|e_e|e_f|e_g|e_i|e_k|e_l|e_m|e_n|e_o|e_p|e_r|e_s|e_t|e_v|e_w|e_x|e_y|f_#|f_'|f_-|f_a|f_c|f_d|f_e|f_g|f_h|f_j|f_l|f_m|f_n|f_o|f_r|f_s|f_t|f_w|f_z|g_#|g_'|g_-|g_a|g_b|g_c|g_d|g_e|g_f|g_i|g_l|g_m|g_n|g_o|g_p|g_r|g_s|g_t|g_v|g_y|h_#|h_'|h_-|h_a|h_b|h_c|h_d|h_e|h_f|h_g|h_h|h_k|h_l|h_m|h_n|h_o|h_p|h_q|h_r|h_s|h_t|h_v|h_w|h_y|h_z|i_'|i_c|i_l|i_m|i_n|i_p|i_s|j_#|j_a|j_d|j_g|j_h|j_i|j_k|j_l|j_m|j_n|j_p|j_r|j_s|j_t|k_#|k_a|k_b|k_d|k_h|k_i|k_k|k_l|k_m|k_n|k_p|k_r|k_s|k_t|k_u|k_v|k_w|k_z|l_#|l_'|l_-|l_a|l_b|l_c|l_d|l_e|l_f|l_g|l_h|l_i|l_k|l_l|l_m|l_n|l_o|l_p|l_r|l_s|l_t|l_u|l_v|l_w|l_x|m_#|m_'|m_-|m_c|m_d|m_e|m_f|m_g|m_h|m_i|m_k|m_l|m_m|m_n|m_o|m_p|m_r|m_s|m_t|m_v|m_x|m_z|n_#|n_'|n_a|n_b|n_c|n_d|n_e|n_f|n_g|n_h|n_k|n_l|n_m|n_n|n_o|n_p|n_q|n_r|n_s|n_t|n_u|n_v|n_w|o_#|o_'|o_-|o_a|o_b|o_c|o_d|o_e|o_f|o_g|o_h|o_i|o_k|o_l|o_m|o_n|o_p|o_q|o_r|o_s|o_t|o_u|o_v|o_w|o_x|o_z|p_#|p_'|p_a|p_b|p_c|p_d|p_e|p_f|p_g|p_h|p_i|p_k|p_l|p_m|p_n|p_p|p_r|p_s|p_t|q_#|q_'|q_a|q_e|q_h|q_i|q_l|q_o|q_é|q_ė|r_#|r_'|r_-|r_a|r_b|r_c|r_d|r_e|r_f|r_g|r_i|r_j|r_k|r_l|r_m|r_n|r_o|r_p|r_r|r_s|r_t|r_u|r_v|r_w|r_x|r_y|r_z|r_ç|s_#|s_'|s_a|s_b|s_c|s_d|s_e|s_f|s_g|s_i|s_k|s_l|s_m|s_n|s_p|s_r|s_s|s_t|s_u|s_v|s_y|s_z|t_#|t_'|t_a|t_b|t_c|t_d|t_e|t_f|t_h|t_i|t_k|t_l|t_m|t_n|t_o|t_p|t_r|t_s|t_t|t_u|t_v|t_w|t_x|t_z|u_#|u_'|u_l|u_m|u_r|u_s|u_t|u_u|v_#|v_h|v_i|v_l|v_n|v_r|w_#|w_'|w_d|w_k|w_l|w_m|w_n|w_p|w_s|w_t|x_d|x_m|x_p|x_r|x_s|y_c|y_d|y_i|y_k|y_m|y_n|y_p|y_r|y_s|y_t|y_v|y_z|z_#|z_e|z_l|z_m|z_r|z_t|á_#|á_'|â_#|â_'
