Quantile,Subcorpus 1 Tokens,Subcorpus 2 Tokens
1,të,të
2,", e, në",", e, në"
3,"për, i, dhe, nga, me, një","për, i, dhe, nga, me, një"
4,"vitin, është, pas, tij, prej, shumë, janë, që, si, së, se, ishte, edhe, duke, më, nuk, te, ai, u, ka","vitin, është, pas, tij, prej, shumë, janë, që, si, së, se, ishte, edhe, duke, më, nuk, te, ai, u, ka"
5,"popullsi, ta, ato, tjera, këtë, bë, mund, nën, ky, banorë, pa, ku, gjithë, ose, njohur, vend, sipërfaqe, ata, kanë, madhe, ndaj, fundit, km, deri, gjitha, nje, kundër, kishte, filloi, cila, viti, vitet, luftës, lartë, dytë, mori, ti, pjesë, bërë, sot, aktualisht, tjetër, kësaj, mirë, këto, saj, tre, përbëhet, ishin, sipas, kështu, pasi, por, ashtu, fund, qe, kur, dy, qenë, disa, vonë, ne, ndërsa, çdo, po, pak, kohë, tek, shkak, cili, emrin, pasur, apo, rreth, shqiptare, sa, re, madh, kishin, cilat, mbi, herë, mënyrë, marrë, tyre, gjatë, duhet, vitit, komuna, kjo, ndryshme, jetë, gjithashtu, parë, ajo, jo, do, atë, para, midis, vetëm","popullsi, ta, ato, tjera, këtë, bë, mund, nën, ky, banorë, pa, ku, gjithë, ose, njohur, vend, sipërfaqe, ata, kanë, madhe, fundit, nëse, km, deri, gjitha, nje, kundër, vjet, kishte, cila, viti, luftës, vitet, lartë, dytë, brenda, tjerë, ti, pjesë, bërë, aktualisht, kësaj, tjetër, mirë, këto, saj, viteve, tre, përbëhet, ishin, sipas, kështu, pasi, por, fund, qe, kur, dy, qenë, disa, vonë, ne, ndërsa, çdo, po, pak, kohë, tek, shkak, cili, emrin, pasur, apo, rreth, shqiptare, sa, madh, cilat, mbi, herë, mënyrë, marrë, tyre, gjatë, duhet, vitit, komuna, kjo, ndryshme, jetë, gjithashtu, parë, ajo, jo, do, atë, para, midis, vetëm"
6,"evropiane, ana, grup, qeveria, pesë, ndërkombëtare, krijuar, pari, milion, lindjes, gjuhën, maj, gjuha, mesatare, pranë, ndonjë, shembull, numri, ndërtuar, tashmë, kisha, ndërkohë, përfshin, çmimin, metra, lindore, shpejt, qyteti, ndeshje, prishtinë, shënuar, përgjatë, qytetin, ndarë, amerikane, duket, tiranë, janar, qëllim, aty, tani, fjala, zhvilluar, kulturës, atij, kohës, lënë, familje, mars, poshtë, popullsisë, botën, kombëtar, ri, vjetër, bashku, anën, ujë, libri, mesme, treguar, gjashtë, shtëpia, gjenden, shkurtër, viteve, vetë, vjeçare, hapur, qartë, ndryshe, ii, jetojnë, vrarë, mira, rolin, njëjtën, shpesh, filmi, bënë, vit, atje, kemi, tu, pikë, sezonin, mundur, forcat, historisë, punën, prandaj, shtatë, lashtë, veriore, gjendet, këngë, sistemi, shqiptarëve, vende, quajtur, zhvillimin, kaluar, lufta, punës, serbe, shënoi, fshatit, drejtim, shume, cilit, grupi, hershme, letrare, nëntor, politik, drejt, ndërkombëtar, kryetar, ndodhet, sistemit, tej, pjesa, përmes, ia, shqiptarë, tilla, mbajtur, fshat, kohe, ditë, këta, kosovës, qendër, qershor, bashkuara, autor, mos, familja, luftë, sukses, ndërmjet, krye, luftën, rritur, shkollën, gusht, shekullin, historinë, shquar, qytet, mes, kurse, doli, c, përfshirë, mjaft, nëpër, bazë, punoi, përmban, atyre, shkencore, jetën, cilët, arsye, studimet, formuar, rast, menjëherë, luajti, m, tokë, korrik, la, rëndësishëm, kishës, mbetet, kryesor, jetës, kosova, tokës, moshën, jep, moderne, gati, partisë, tonë, tepër, fituar, brendshme, përket, shqipe, njeri, prill, përgjithshëm, vazhdon, drejtë, larg, sidomos, shteti, gjetur, sidoqoftë, etj, kthye, gjendje, dhënë, cilës, shteteve, arriti, forma, konsiderohet, shtator, përdoret, botërore, tetor, dendësi, emri, ushtarake, atëherë, vendet, gjuhës, fshati, jenë, këtyre, vendosi, bashkë, përpara, kulturore, përgjithshme, sistem, rëndë, ekziston, faqe, përfshijnë, veçanërisht, veten, sepse, kryesore, as, punuar, zakonisht, kryer, shkencave, megjithatë, the, vërtetë, botës, grupit, kantoni, përfundimisht, gjerë, anë, lloj, bëri, ju, unë, njerëz, pjesën, shqipërisë, qytetit, fushën, tha, evropian, bën, lartësi, de, popullit, vjet, kosovë, akoma, muaj, shkollës, ende, fëmijët, ekonomike, zi, brenda, këtu, siç, emër, arritur, caktuar, përdorur, lirë, tiranës, veriut, njerëzit, ngjashme, shtetit, njihet, lumit, marrin, gjermane, fortë, pse, fjalë, njeriu, veri, titullin, vendosur, politike, fshatin, mban, vdiq, perëndimore, pra, shkollë, numër, erdhi, madje, kombëtare, merr, popullore, per, shkurt, jeton, njeriut, jane, banorët, kryesisht, puna, emërua, këtij, republikës, vendit, vdekjes, njëjtin, tri, gjithmonë, shekullit, plotë, përsëri, del, ketë, filluar, bëjnë, luajtur, cilin, psh, a, gola, katër, lokale, tërë, megjithëse, qendrore, formë, filluan, mbreti, rrugë, pastaj, pothuajse, na, shenjtë, jashtë, shkoi, veçantë, vjeç, tempulli, fillim, vite, banorkm, përgjithësi, shën, detit, kreu, vazhdoi, fitoi, bashkuar, mëdha, quhet, tregon, ndeshjen, lindur, tretë, nëpërmjet, dhjetor, libër, fetare, histori, rëndësishme, of, popullsia, romake, shoqërore, nëse, bardhë, vendin, dha, shkolla, osmane, përdor, fillimisht, anëtar, aq, qendra, vogla, larta, shtetet, punë, tjerë, zhvillimit, bëhet, jugore, përdoren, njerëzve, shkruar, vendos, zona, bazuar, shumta, lidhur, shek, lidhje, botuar, shqiptar, shqipëria, afër, fëmijë, raste, pavarësisht, jug, iu, thënë, shqipëri, pati, ndër, periudhës, përveç, vet, rezultat, asnjë, gjuhë, sezonit, babai, vendi, jashtme, botë, vjen, historike, përfundoi, jeta, cilën, formën, shtëpi, lindi, thotë, familjes, universitetin, thuhet, periudhë, asaj, rol, fillon, vepra, shumica, gjë, natyrore, shqiptarët, vogël, reja, tillë, kohën, eshte, ndoshta, ulët, greke","ana, grup, qeveria, pesë, ndërkombëtare, krijuar, pari, milion, lindjes, gjuhën, maj, gjuha, pranë, ndonjë, shembull, elektrike, numri, ndërtuar, tashmë, kisha, ndërkohë, përfshin, çmimin, lindore, metra, shpejt, qyteti, ndeshje, prishtinë, numrin, shënuar, përgjatë, qytetin, ndarë, muzikës, amerikane, duket, djali, tiranë, janar, qëllim, aty, tani, zhvilluar, kulturës, atij, kohës, lënë, familje, mars, poshtë, mori, popullsisë, botën, kombëtar, ri, sot, vjetër, bashku, kurrë, zonat, anën, ujë, shpejtë, libri, mesme, artit, treguar, gjashtë, shtëpia, gjenden, njerëzore, shkurtër, vetë, vjeçare, hapur, ndryshe, ii, merret, jetojnë, mira, rolin, njëjtën, shpesh, filmi, bënë, vit, atje, kemi, tu, pikë, sezonin, mundur, morën, forcat, historisë, punën, prandaj, shtatë, lashtë, veriore, gjendet, këngë, sistemi, shqiptarëve, vende, quajtur, zhvillimin, kaluar, lufta, punës, serbe, shënoi, fshatit, shume, cilit, grupi, hershme, nëntor, politik, drejt, kryetar, ndodhet, sistemit, pjesa, përmes, ia, shqiptarë, tilla, fshat, mbajtur, kohe, ditë, këta, kosovës, qendër, ndaj, qershor, bashkuara, autor, mos, sukses, familja, luftë, ndërmjet, krye, luftën, rritur, shkollën, gusht, shekullin, historinë, qytet, mes, kurse, doli, c, përfshirë, mjaft, nëpër, bazë, punoi, përmban, shkencore, atyre, jetën, cilët, arsye, studimet, formuar, rast, menjëherë, t, luajti, m, universiteti, dorë, tokë, korrik, la, rëndësishëm, kishës, jetës, kryesor, kosova, tokës, vështirë, moshën, jep, moderne, gati, zonë, tonë, partisë, tepër, fituar, tjerët, brendshme, shqipe, njeri, prill, përgjithshëm, vazhdon, re, larg, sidomos, shteti, vete, gjetur, sidoqoftë, etj, kthye, gjendje, dhënë, cilës, qeverisë, shteteve, arriti, forma, konsiderohet, shtator, përdoret, botërore, tetor, ekzistojnë, dendësi, emri, ushtarake, atëherë, vendet, gjuhës, fshati, jenë, këtyre, arsimit, vendosi, mesin, bashkë, ushtrisë, përpara, kulturore, përgjithshme, sistem, rëndë, veçanërisht, veten, sepse, kryesore, as, punuar, zakonisht, kryer, megjithatë, the, ndonjëherë, fakultetin, vërtetë, botës, grupit, kantoni, gjerë, anë, lloj, vetme, bëri, ju, unë, njerëz, pjesën, shqipërisë, qytetit, fushën, tha, evropian, bën, lartësi, de, popullit, kaloi, kosovë, filloi, akoma, muaj, shkollës, ende, fëmijët, ekonomike, perandorisë, zi, këtu, siç, emër, arritur, caktuar, përdorur, lirë, tiranës, veriut, njerëzit, ngjashme, shtetit, njihet, lumit, marrin, gjermane, fortë, pse, fjalë, ashtu, njeriu, veri, titullin, vendosur, politike, fshatin, mban, vdiq, perëndimore, pra, shkollë, numër, erdhi, madje, kishin, kombëtare, merr, per, popullore, shkurt, njeriut, jane, kryesisht, pika, puna, këtij, republikës, vendit, vdekjes, tri, gjithmonë, shekullit, nivelin, plotë, përsëri, shtrihet, del, ketë, filluar, bëjnë, luajtur, cilin, psh, a, gola, katër, tërë, sotme, megjithëse, qendrore, formë, mbreti, rrugë, pastaj, pothuajse, na, shenjtë, jashtë, veçantë, vjeç, tempulli, fillim, vite, banorkm, përgjithësi, shën, detit, kreu, vazhdoi, fitoi, mëdha, quhet, tregon, ndeshjen, lindur, tretë, nëpërmjet, dhjetor, libër, fetare, histori, rëndësishme, of, popullsia, bardhë, vendin, dha, shkolla, osmane, anëtar, fillimisht, aq, qendra, vogla, larta, shtetet, punë, zhvillimit, bëhet, jugore, përdoren, njerëzve, publike, shkruar, rrugën, vendos, zona, bazuar, shumta, lidhur, shtëpinë, shek, lidhje, botuar, shqiptar, shqipëria, afër, fëmijë, raste, pavarësisht, jug, zonën, iu, thënë, shqipëri, pati, ndër, periudhës, përveç, vet, rezultat, asnjë, gjuhë, sezonit, babai, vendi, jashtme, botë, vjen, historike, derisa, përfundoi, jeta, cilën, formën, shtëpi, lindi, thotë, familjes, universitetin, thuhet, periudhë, asaj, rol, fillon, vepra, shumica, gjë, natyrore, shqiptarët, vogël, reja, tillë, kohën, eshte, ulët, greke"
